message,soc
wie sollen wir das mit der analyse am besten machen?,36
Belege und Begründungen:,35
Relativierungen des Arguments:,35
man kann drei verschiedene hypothesen aufstellen:,37
1. Lehrerin:,37
external,37
variabel,37
2. Eltern:,37
external,37
stabil,37
3. Kind:,37
internal,37
stabil,37
(bzw. variabel),37
(wird zwischen lehrerin und eltern hin und hergerissen. ist aber eher auf der seite der eltern),37
"Die Aufstellung finde ich auch ganz gut,",39
mir fällt auch nichts besseres ein,36
"Bin ich auch der Meinung,",39
"nur wie die ""Motivation"" in dem Beispiel ist wird sie wohl nicht viel Sinn machen.",37
Jemanden einfach nur als faul zu bezeíchnen motiviert nicht wirklich,37
irgendie haben jetzt alle aufgaben bearbeitet.,36
oder fällt euch noch irgenwas anderes zu einem der fälle ein?,36
"Nein ehrlich gesagt nicht,",36
wüsste auch nichts mehr zu sagen,36
ich fange jetzt einfach mal mit der analyse an:,36
es liegen in diesem fall mehrere arten von atributionen vor:,37
1.)die fremdatributonen:a)die der lehrerin:,37
die lehrerin fasst aussage von michael über die fehlende mathematische begabung der familie peters als ausrede auf.,37
sie erzeugt damit eine internal,37
variable atribution.,37
"wirkung:sehr ungünstig,",37
"da michael sich unverstanden und wahrscheinlich auch hilflos fühlt,",37
"weil ja garnicht bekannt ist, ob er so faul ist.",37
"denn wenn er es nicht war, wird er sich in zukunft auch nicht mehr anstrengen, weil er denkt,dass es sowieso nichts bringen wird.",37
b) die eltern,37
die eltern sind der meinung dass peters schlechte mathenoten eher auf die mangelnde begabung in der ganzen familie zurück zu führen sei.,37
hiermit üben sie auf peter eine internal,37
stabile,37
fremdatribution aus.,37
"wirkung:auch sehr ungünstig,",37
"da es in diesem fall für peter aussichtlos erscheint, sich weiter anzustrengen, da er sowieso unbegabt ist und dies auch bleiben wird.",37
2.)selbstatribution von peter,37
"a) in der neunten klasse:war positiv attributiert von seiner lehrerin,",37
da sie gesagt er müsse sich anstrengen um die klasse zu schaffen,37
", er hat sie dann auch geschafft.",37
(internal,37
variable atribution),37
"in der zehnten jedoch wird er von beiden ungünstigen atributionen dermassen beeinflusst,",37
dass er nicht wirklich glaubt es nocheinmal zu schaffen.,37
lösung des falls,37
die lehrerin als auch die,37
eltern sollten durch ein reattributionstraining lernen die ungünstigen attributionen zu verhindern.und mit günstigeren attributionen versuchen,37
michael zu motivieren und mehr für die mathematik zu begeistern.,37
Wie wollen wir das mit der gemeinsamen Analyse denn jetzt machen,36
1.Hypothese zum Fall:,35
1. Lehrerin ist external,37
variabel,37
2. Eltern sind external,37
stabil,37
3. Kind ist internal,37
stabil,37
(ein bischen auch variabel,37
Belege und Begründungen:,35
"1. Lehrerin behauptet, dass er faul wäre",37
2. Eltern schieben alles auf die gene,37
3. Kind glaubt den Eltern und lässt sich auch noch von der Lehrerin beeinflussen,37
Relativierungen des Arguments:,35
?,36
sorry,36
"abe das jetzt erst gerade gesehen,",36
was haltet ihr von meinem vorschlag???,36
>ich fange jetzt einfach mal mit der analyse an:>es liegen in diesem fall mehrere arten von> atributionen vor:>1.)die fremdatributonen:>a)die der lehrerin:>die lehrerin fasst aussage von michael über die> fehlende mathematische begabung der familie peters als> ausrede auf.>sie erzeugt damit eine,-1
"Bin ich deiner Meinung,",39
ich finde die Analyse höhrt sich gut und richtig an,39
auch von den Einteilungen der Attributionsstufen,39
"eine fremdattribution kann nicht internal sein, sie ist external,",37
oder?,36
wer macht jetzt die anderne,36
müssen wir aufgrund von zeitmangel wohl irgendwie aufteilen,36
Die Lehrerin ist doch eigentlich internal,37
Variabel,37
"sie denkt ja er strengt sich zu wenig an, oder",37
internal wäre sie wenn sie das von sich behaupten würde.,37
sie urteilt aber über den schüler,37
Mir fällt so oder so keine Relativierung des Arguments ein,37
"Den armen Schüler kann ich gut verstehen- Mathe ist auch nicht meine starke Seite und was noch dazu kommt, hatte ich genau die gleiche Probleme- durchfallen.",35
"Da meine Eltern auch nicht die Mathegenies waren, haben sie mich in dem Glauben gelassen, dass ich in Mathe nicht begabt war.",35
"Da ich gerade den Text gelesen habe, denke ich, dass es doch eher an der Faulheit und nicht an der Begabung liegt, wenn man in der Schule probleme mit lernen hat.",35
"Es mag allerdings sein, dass man in manchen Fächern besser und in manchen schlechter ist-",35
alles Frage der Motivation wie auch wie und in welcher Umgebung man lernt- ob man Unterstützung bekommt oder nicht.,35
"Nun ja, ich würde sagen, dass es in diesem Fall wirklich zutrifft, dass er in Mathe unbegabt ist.",37
Also eine internale stabile Attribution.,37
"Aber das heisst nicht, dass er an seinen Leistungen nichts ändern kann.",37
"Diese Faulheit wird aber auch von seinen Eltern provoziert, die ihm ja keine Hoffnung zu besseren Leistungen geben.",37
"Also: eine Fremdattribution,",37
die sich negativ auf das Lernverhalten und die Motivation auswirkt.,37
"Ich denke, dass es in diesem Fall Fremdattribution ist,",37
weswegen der Junge so schlecht in Mathe ist.,37
"Da seine beiden Elternteile ihm immer wieder erzählen, dass sie selbst auch immer schlecht in Mathe waren, übernimmt der Junge sozusagen die Einstellung",37
"der Eltern, er sei unbegabt.",37
"Außerdem kommt noch hinzu, dass die Lehrerin ihm Faulheit unterstellt. Auch eine wirklich",37
schlechte,37
Fremdattribution.,37
"Wenn er jetzt beides, Unbegabtsein und Faulheit internalisiert, dann kann er ja nur schlecht in Mathe sein",37
"Vielleicht ist es in diesem Fall wirklich so, dass der Schüler eben keine grosse Begabung für mathe hat.",37
"in diesem Fall kann man eben von einer internal stabilen Attribution sprechen, wobei ich auch sagen würde, wie du schon erwähnt hast, dass es dem Schüler sicher an Motivation fehlt.",37
Und diese geringe Motivation wird dann noch von Seiten der Eltern gerechtfertigt.,37
"So nach dem Motto "" Das ist eben so"", also eine Fremdattribution, die vom Schüler übernommen worden ist",37
Na ja. Die Eltern sind auch nicht die einzigen die für die Motivation ihrer Kinder Verantwortung zu übernehmen haben.,37
"Man könnte auch sagen, dass es in großem Teil an den Lehrern liegt und natürlich daran wie sie den Stoff rüberbringen-",37
denn die Fremdattribution des Lehrers,37
beeiflusst über die Leistung von Schülern die Lernhandlungen: auch die Motivation und Leistung.,37
"Erst kommt eine Frage an Pinie:"" Woher wusstest du, dass es die Lehrerin war, die dem Jungen seine Faulheit vorgeworfen hat?""",36
So und jetzt zu dem Fall.,35
"Das ist schon richtig, dass man den Lernelfolg nicht nur in Verbindung mit Glück setzen sollte",37
"aber andererseits kommt es sehr häufig vor, dass man statt stundenlangen Lernen einfach auf sein Glück hofft- und ehrlich gesagt es funktioniert manchmal.",37
"Ein wichtige Rolle beim Lernen spielen wie schon immer die Lehrer, die in erster Linie die Verantwortung dafür tragen wie",37
"Ich weiß, das die Lehrerin dem Jungen Faulheit vorwirft, weil sie es zu ihm auf diesem Schulfest sagt.",39
"sie sagt zu ihm, man könne sich auch noch andere ausreden einfallen lassen, um seine himmelschreiende Faulheit zu begründen.",39
Mehr kann ich dazu im Prinzip nicht sagen.,35
"ich hab nur noch eine Frage: Wo im Text ist die Rede von ""auf sein Glück hoffen""?",36
"Es ist zwar nicht direkt gesaht, aber der Vatter von dem Jungen hat angedeutet, dass Abschreiben und Spikzettel bei den Klausuren hilfreich sein könnten und nicht unbedingt lernen und Anstrengung.",39
1. Hypothese zum Fall:,35
Michael Peters hat im neuen Schuljahr gute Voraussetzungen Mathe zu verstehen.,35
Belege und Begründungen:,35
Seine schlechte Leistung im letzten Jahr führt er auf einen externalen Einfluss zurück.,35
Abgesehen von der Attributionstheorie stehen seine Eltern hinter ihm,35
Relativierungen des Arguments:,35
"Seine intrinsische Motivation ist aber nicht ausreichend,die Inhalte der Mathematik zu verstehen.",35
Die Voraussetzung der intrinsischen Motivation erspart ihm nicht den Prozess des Erlernens.,35
1.Hypothese zum Fall:,35
Peters wird Mathe nie richtig verstehen,37
Belege und Begründungen:,35
seine unbegabtheit in Mathe,37
bedeutet für ihn eine internal,37
stabile Attribution,37
Relativierungen des Arguments:,35
ein reattributionstraining durch Eltern und Schüler könnte ihm helfen,37
1.Hypothese zum Fall:,35
Belege und Begründungen:,35
Die internale,37
stabile Attribution wird überwiegen.,37
Relativierungen des Arguments:,35
Ein Reattributionstraining durch die Eltern und der Schüler wird ihm helfen.,39
1.Hypothese zum Fall:,35
Peters wird Mathe nicht richtig verstehen,35
Belege und Begründungen:,35
durch die ungünstige,37
Fremdattribution durch die Eltern,37
und die ungünstige,37
Selbstattribution ist er sehr unmotiviert,37
Relativierungen des Arguments:,35
Der Lehrer sollte sich einschalten und versuchen seine Leistungen durch reattributionsstrainig zu verbessern,37
1.Hypothese zum Fall:,35
Peters verlässt sich auf seine Unbegabtheit in der Mathe,35
Belege und Begründungen:,35
"er lernt nicht, da er seine Unbegabtheit nicht ändern kann",35
Relativierungen des Arguments:,35
"auch wenn er erblich vorbelastet ist, kann er trotzdem mehr Mühen und arbeitsaufwand in der mathe zeigen",35
2.Hypothese zum Fall:,35
Belege und Begründungen:,35
Relativierungen des Arguments:,35
1.Hypothese zum Fall:,35
Peters schlechte Mathenoten liegen nicht nur an der Unbegabtheit,37
Belege und Begründungen:,35
Seine Eltern motivieren ihn nicht und unterstützen die Behauptung der Unbegabtheit,37
Relativierungen des Arguments:,35
Trotz der Reaktion seiner Eltern sollte er versuchen mathe besser zu verstehen,37
1.Hypothese zum Fall:,35
Michael Peters ist schlecht in Mathe.,37
Er glaubt daran selbst,41
und er wird von seinen Eltern nicht unterstützt es zu ändern.,41
Belege und Begründungen:,35
Seine Eltern motivieren ihn nicht und unterstützen die Behauptung der Unbegabtheit.Deshalb lernt er nicht.,41
Relativierungen des Arguments:,35
"Auch wenn er erblich vorbelastet ist, kann er trotzdem mehr Mühen und arbeitsaufwand in der mathezeigen.",35
Und trotz der Reaktion seiner Eltern sollte Michael Peters versuchen Mathematik besser zu verstehen.,39
1.Hypothese zum Fall:,35
Belege und Begründungen:,35
Relativierungen des Arguments:,35
1.des Arguments:,-1
1.Hypothese zum Fall:,35
"Die mathematische (""Nicht""-)Begabung liegt in der Familie",35
Belege und Begründungen:,35
Meist finden sich mathematische Schwächen in den Genen der Vorgänger,35
Relativierungen des Arguments:,35
Durch Lernen und gezielte Förderung lassen sich Schwachstellen verbessern,35
1.Hypothese zum Fall:,35
Die Probleme in Mathematik lassen sich durch intensives Lernen verringern.,37
Belege und Begründungen:,35
"Die ""himmelschreiende"" Faulheit hat zu den Problemen in Mathematik geführt.",37
Relativierungen des Arguments:,35
"Teilweise gibt es Lernschwächen, die nicht so leicht ausgemerzt werden können. Einige Menschen haben z.B. ein sehr schlechtes räumliches Vorstellungsvermögen.",35
1.Hypothese zum Fall:,35
Belege und Begründungen:,35
Relativierungen des Arguments:,35
"Lernschwächen sind zwar teils auf Faulheit zurückzuführen, doch spielt die genetische Veranlagung keine mindere Rolle - auch wenn dies keine Entschuldigung sein darf",37
1.Hypothese zum Fall:,35
die mathematische begabung liegt nicht in den genen,37
Belege und Begründungen:,35
es gibt sowohl schlechte bzw gute mmathematiker unter den mädchen wie auch unter den jungen,37
Relativierungen des Arguments:,35
durch gezielte förderung können positive ergebnisse erreicht werden,37
1.Hypothese zum Fall:,35
Veranlagung und Lernen - beide Dinge haben einen Einfluß auf die Leistung in Mathematik.,37
Belege und Begründungen:,35
"Schon die Eltern von Michael Peters hatten Probleme in Mathematik, trotzdem hat Michael durch Lernen das Schuljahr geschafft.",37
Relativierungen des Arguments:,35
"Manchmal ist die Veranlagung so schlecht, dass Lernen nichts ""bringt""",37
1.Hypothese zum Fall:,35
Michael ist aufgrund genetischer Anlagen in Mathe kein guter Schüler,35
Belege und Begründungen:,35
Seine Eltern waren schon in Mathe schlecht,35
Relativierungen des Arguments:,35
"Michael könnte durch Üben seine Leistungen trotz des genetischen ""Defekts"" verbessern",35
1.Hypothese zum Fall:,35
Michael ist aufgrund genetischer Anlagen in Mathe kein guter Schüler,39
Belege und Begründungen:,35
Seine Eltern waren zwar auch schlecht in Mathe aber man kann das nicht allein darauf zurückführen.,37
"Damit, dass seine Eltern ihm auch noch gesagt haben, dass sie auch schlecht in Mathe waren , zeigen sie ihm doch nur noch mehr dass das garnicht so schlimm und wichtig ist. Si fördern nicht grad seine Motivation etwas für",37
Relativierungen des Arguments:,35
Michael sollte mehr lernen und seine Eltern sollten ihn dabei unterstützen.,37
1.Hypothese zum Fall:,35
Michael ist aufgrund gentischer Anlagen in Mathe kein guter Schüler,39
Belege und Begründungen:,35
"Das seine Eltern in Mathe schon schlecht waren, erlaubt Michael aber nicht, dass er sich in Mathe hängen lassen kann.",37
Relativierungen des Arguments:,35
Michael muß dringend lernen,37
1.Hypothese zum Fall:,35
Michael ist aufgrunf genetischer Anlagen in Mathe kein guter Schüler,35
Belege und Begründungen:,35
Michael ist in Mathematik kein guter Schüler.,35
"dies schiebt er allerdings nicht auf seine Faulheit, sonder auf das familiäre ""Versagen"" in Mathe.",35
Relativierungen des Arguments:,35
1.Hypothese zum Fall:,35
Michael ist aufgrund genetischer Anlagen in Mathe kein guter SChüler,39
Belege und Begründungen:,35
Diese Tatsache rührt nicht allein aus den Erbanlagen der Eltern.,37
Individuelle Fähigkeiten können häufig nicht direkt auf die Begabung der Eltern zurückgeführt werden.,37
"Viel näher liegt die Annahme, daß die Eltern durch ihr Denken über die Vererbung ihrer negativen Anlagen ihr Kind in diese Richtung beeinflussen",37
Relativierungen des Arguments:,35
Negative,37
"Fremdattributionen durch die Eltern müssen geanu geprüft werden, bevor wirklcih von einer mangelnden Fähigkeit in Mathe gesprochen werden darf.",37
1.Hypothese zum Fall:,35
"Michael könnte ein besserer Schüler sein, wenn er nicht durch die negative Fremdattribution beeinflusst worden wäre",37
Belege und Begründungen:,35
Michaels Misserfolge,37
sind wohl nicht auf auf eine internal,37
stabile Attribution zurückzuführen,37
Relativierungen des Arguments:,35
Michael müßte die nötige Motivation aufbringen um durch kontinuierliches Lernen seine Leistungen zu bessern,37
1.Hypothese zum Fall:,35
Nicht nur externale Attributionen spielen eine Rolle.,37
Zur Leistungsverbesserung müssen auch die internalen Gedankenmuster berücksichtigt werden.,37
Belege und Begründungen:,35
Ist die Reaktion auf Mißerfolge von Michael internal variabel setzt diese ein Gegengewicht zu seinem external negativen UZmfeld,37
Relativierungen des Arguments:,35
"Es ist eine Möglicheit, es kann aber nicht von einer zwingend notwenigen Regel gesprochen werden.",37
1.Hypothese zum Fall:,35
"Es spielen im Fall Michael sowohl externale, als auch internale Attributoren eine wichtige Rolle.",37
Belege und Begründungen:,35
"Michael war schon, bevor die Eltern ihn ""entmutigten"" schlecht in Mathe",37
Relativierungen des Arguments:,35
"Michael war sein ganzes Leben wahrscheinlich schon schlecht in Mathe und vielleicht nicht nur in diesem Fach, da er nach der Aussage der Leherin ""himmelschreiend"" faul sei.",37
Man ist doch nicht nur in einem Fach faul.,37
1.Hypothese zum Fall:,35
"Peter kann geholfen werden,",35
"indem sowohl er, als auch seine Eltern ihr Attributionsverhalten ändern.",35
Belege und Begründungen:,35
"Peter sieht sein Versagen als EXTERNAL STABIL an,",35
eine unmotiviertere Begründung gibt es eigentlich gar nicht.,35
Peter und seine Eltern müssen ihr Attributionsverhalten ändern,35
und können Peter somit besser motivieren und seine LEistungen steigern.,35
PEter muss sein Versagen auch INTERNAL begründen.,35
"Zum Beispiel muss er sich fragen, ob er auch wirklich genug gelernt hat und ob er sein ELrnverhalten ändern muss.",35
"Er muss daran denken, dass seine Misserfolge nicht STABIL sondern variabel sind. Es ist also nciht von vornherein klar, dass er wieder versagt. Wenn er für eine Klausur viel lernt, kann er sich natürlich verbessern.",35
Peters Eltern (EXTERNAL) und die Lehrerin (EXTERNAL) müssen auch ihren Teil dazu beitragen.,35
Die Eltern müssen auch andere Attrbutionsanätze mit einbeziehen. Sie kmüssen Peters Versagen ernst nehmen und dürfen es nicht als determiniert ansehen.,35
"Sie müssen ihn bei Versagen aufbauen und ihm sagen, dass es beim nächsten mal schon besser sein kann (veragen als variabel) und nicht immer gegeen sein muss.",35
Relativierungen des Arguments:,35
"Vielleicht hat all das allerdings auch keinen Sinn mehr, PEter und seine Eltern haben schon viel falsch gemacht und müssen sich schon wirklich ins Zeug legen um das wieder einzurenken.",35
1.Hypothese zum Fall:,35
Andere Einstellung der Eltern kann helfen.,37
Belege und Begründungen:,35
"Wenn die Eltern Peter zwar die Warheit sagen, aber dazu verdeutlichen, dass sie durch die Wille doch Mathe geschafft haben, könnte es helfen.",35
Relativierungen des Arguments:,35
"Die Frage ist, ob es Peter nachvollziehen wird.",35
1.Hypothese zum Fall:,35
andere Einstellung der Eltern kann helfen,35
Belege und Begründungen:,35
"Wenn die Eltern mehr Druck machen und Peter andere Lösungsvorschläge liefern,",35
"wenn sie andere Attrbutionsarten anwenden, könnte man Peter mehr motivieren",35
Relativierungen des Arguments:,35
"vielleicht ist Peter allerdings schon so verbohrt, dass er das gar nicht mehr einsieht. Schließlich hat er lange genug alles auf die Gene geschoben um es zu glauben",37
1.Hypothese zum Fall:,35
"wenn Peter sein Versagen anders erklärt, könnte er seine Leistungen längerfristig verbessern",35
Belege und Begründungen:,35
"Peter könnte die Gründe für sein Versagen mehr bei sich selbst, als INTERNAL suchen. Vielleicht hat er einfach keine Lust, oder er lernt zu wenig.",35
Auch sollte er sein Versagen nicht von Vornherein als STABIL betrachten.,35
Relativierungen des Arguments:,35
seine fehlende Begabung liegt zu einem kleinen Teil bestimmt auch in der Familie,37
1.Hypothese zum Fall:,35
"wenn die Eltern Peters Schwäche nicht so sehr auf die leichte Schulter nehmen würden und somit billigen, wäre Peter eventuell besser",35
Belege und Begründungen:,35
"Wenn die Eltern mehr druck machen und seine schwäche nicht einfach als determiniert sehen würden, sondern auch andere Gründe dafür einsehen würden, könnte Peter sich verbessern",35
Relativierungen des Arguments:,35
"allerdings hilft ihm das allein auch nicht weiter, es wäre nur der anfang anderer Maßnahmen gegen die Schwäche",35
1.Hypothese zum Fall:,35
Mangelde Begabung führt oft zum Misserfolg,35
Belege und Begründungen:,35
"Wenn es jemanden schwer fiel Mathe zu verstehen, begründet es mit mangelde Begabung.",35
Relativierungen des Arguments:,35
Daran kann aber z.B. die Lernmotivation was ändern.,35
1.Hypothese zum Fall:,35
mangelnde Begabung kann mit Lernen ausgeglichen werden,37
Belege und Begründungen:,35
"wenn Peter sich richtig reinhängt und mehr anstrengt, wenn er Nachhilfe nimmt und versucht zumindest die Grundlagen zu verstehen, kann er trotz mangelnder Begabung einiges ausgleichen",37
Relativierungen des Arguments:,35
bei manchen ist Hopfen und Malz verloren. Oder sie haben eine Mathe-Lernschwäche,35
1.Hypothese zum Fall:,35
Peter kann gegen seine schlechten Leistungen in Mathe nichts tun,35
Belege und Begründungen:,35
"Das liegt in der Familie. Seinen Eltern ging es auch schon so, Peter kann es nicht ändern und kann nichts dafür.",35
Das wird sich auch nicht mehr ändern. Sein Versagen ist also external stabil.,35
Relativierungen des Arguments:,35
"Wenn Peter mehr lernen würde, könnte er sich vielleicht doch verbessern",35
1.Hypothese zum Fall:,35
"Wo Wille ist, ist auch ein Weg.",35
Belege und Begründungen:,35
"Wenn Petr gut motiviert wird, kann es zum beseren Leistungen führen.",35
Relativierungen des Arguments:,35
Nicht jede Bemühung bringt Erfolg.,35
"Michael stellt fest, dass er nicht gut in Mathe ist.",37
Er wäre letztes Jahr fast durchgefallen.,37
Daraus lässt sich direkt nichts über seine Selbstatribution schließen.,37
"Michael stellt lediglich das Ereignis dar. Er macht nicht klar, worin er die Ursachen sieht.",35
"Ein weiter Grund der belegt, dass keine Selbstatribution vorliegt ist, dass er nun eine Rheie von Fremdatributionen folgen lässt.",35
Frau Weber und seine Eltern.,35
Michale erwähnt in diesem Gespräch keine Selbstatribution.,35
Aber er hat noch nicht aufgegeben. Er ist gespannt auch das nächste SChuljahr.,35
Die Fremdatributionen steigert seine Motivation nicht.,35
"Seine Eltern implizieren in seine Aussage, gleich, dass er keine Begabung hat. Alle keine Leuchten und mit Spickern durchgekommen sind ihre Antworten.",35
"Die Lehrern nennt nichts positiv. Sie meint Negativ, Michael sein Faul.",35
Aber Michale wird keine Chance geboten auf eine Günstige Selbs,35
Kein Text,35
