message,epi
"Und eigentlich ist er ja auch faul. Bloß hat es halt den Grund, dass er denkt, dass es sowieso nichts bringt, wenn er lernt.",1
Eine Variable,1
-Eltern führen seine Misserfolge auf variable Ursachen(zuwenig Anstrengung) ,1
Misserfolg,1
Sie motivieren ihn nich tzum lernen sonder liefern ihm eine passende Ausrede sich nicht anstrengen zu müssen.,1
"Wenn alles klar ist, dann könnt ihr jetzt mit eurer Diskussion beginnen.",0
 die Faulheit des Jungen unterstützt. Michael nimmt die ganze Sache ziemlich locker.,1
"Außnahmen bestätigen die Regel. Wenn einer nicht will, dann will er halt nicht egal was man macht.",0
Eine Variable,1
kann solchen Schülern gute Alternativen aufzeigen und den SChulalltag erleichtern.,1
"Eine neue Idee zu diesem Fall ist, dass sowohl Michael als auch seine Lehrerin und seine Eltern ein Reattributionstraining bräuchten",1
den misserfolg auf genetische benachteiligung (wir sind alle keine leuchten in mathe) zu schieben und darüber witze zu machen trägt nicht zur bekämpfung des problems bei.,1
"- Wenn Michael weiterhin seine Begabung als Ursache für seinen Misserfolg hält, werden seine Leistungen wohl kaum besser, da er denkt, dass er an dieser Ursache sowieso nichts ändern kann.",1
"When die Meinung der Eltern  verändert, wird dieses Risiko verwand.",0
"Eine neue Idee zu diesem Fall ist, dass man hier eventuell ein Reattributionstraining einsetzten könnte um das Problem zu beheben",1
" auch negative Konsequenzen für Michael mitsichbringt,positiver Zuspruch sich aber positiv auswirkt.",1
 stabile,0
"Aber auch für Michael wäre ein solches Training gut, da er lernen könnte, dass der Grund für seine schlechten Leistungen variabel ist. ",1
Seine Eltern sollten ihn bei dieser Anstrengung unterstützen (zB. sie bezahlen ihm die Nachhilfestunden).,0
"Frau Weber sagt aber wenigstens, dass noch eine Möglichkeit besteht, dass er die Klasse schafft, wenn er sich anstrengt.",0
Sie motivieren ihn nich tzum lernen sonder liefern ihm eine passende Ausrede sich nicht anstrengen zu müssen.,1
"Das Bedeutet, dass Michael zwar Faul ist,",0
und die Eltern attribuieren ihn internal,0
 Da kommt das Reattributionstraining wieder ist Spiel.,1
Hierbei handelt es sich um internal ,0
"Die Eltern gehen zwar locker mit der schlechten Leistung von Michael um,",0
"Als Lösung wäre ein Reattributionstraining für die Eltern anzuwenden, bei dem sie lernen, ihren Sohn zu motivieren. ",1
"attributionen sind ursachen,die bestimmten ereignissen zugeschrieben werden",0
(bzw. variabel),0
1.Hypothese zum Fall:,0
Hier könnte man auf ein Reattributionstraining zurückgreifen,1
"von Seiten des Lehrers könnte dazu führen, dass sich Michael nur noch überforderter fühlt (""Ich lerne, trotzdem sagen alle, ich bin faul"") oder das Konzept übernimmt (""Ich kanns eh nicht (mangelnde Begabung, s.o.), die Leute halten mich für faul, also lern ich gleich garnix mehr"").",1
" auch negative Konsequenzen für Michael mitsichbringt,positiver Zuspruch sich aber positiv auswirkt.",1
"Er ruht sich auf die ""internal variable Attributionstheorie"" aus, ohne wirklich etwas ändern zu wollen.",0
"Information aus dem Fall, die wir noch nicht betrachtet haben, ist ebenso die Tatsache, dass die Lehrerin meiner Meinung nach auch recht schroff auf der Schulfeier reagiert hat, als sie eine (vielleicht bestehende, man weiß es ja nicht!) Lernschwäche als ""himmelschreiende Faulheit"" bezeichnet hatte (s. 72: ""Nicht nur Selbstattributionen auf Seiten der Lernenden, sondern auch Fremdattributionen, die von außen an die Lernenden herangetragen werden, können eine starke Wirkung  entfalten.""). So impliziert sie ihm Faulheit und mangelnde Leistungsbereitschaft - wir wissen aber nicht, ob dem tatsächlich so ist, das lässt der obige Text ja offen. Sie kennt den Hintergrund nicht genau und ein Reattributionstraining wäre auf jeden Fall eine ratsame Lösung für alle Beteiligten.",1
Also müsste man den Eltern beibringen ihn nicht so zu beeinflussen,1
Hier könnte man auf ein Reattributionstraining zurückgreifen,1
" auch negative Konsequenzen für Michael mitsichbringt,positiver Zuspruch sich aber positiv auswirkt.",1
"Und eigentlich ist er ja auch faul. Bloß hat es halt den Grund, dass er denkt, dass es sowieso nichts bringt, wenn er lernt.",1
das er sich nun mehr anstrengt,1
 oder eine vatiabel externale Attribution,1
"Es ist aber wirklich sehr schwer für ihn, in der Umgebung der Eltern wirklich herauszufinden, ob er begabt ist oder nicht.",0
"Bevor wir anfangen, könnt ihr mir bestätigen, dass das Halbsätze-Tool bei euch richtig funktioniert? Bitte wählt dazu einen Halbsatz aus und postet ihn in den Chat.",0
1.Hypothese zum Fall:,0
Durch ein Reattributionstraining ,1
in diesem fall handelt es sich um eine external,0
eltern sollten durch ein reattributionstraining lernen die ungünstigen attributionen zu verhindern.und mit günstigeren attributionen versuchen michael zu motivieren und mehr für die mathematik zu begeistern.,1
"in der zehnten jedoch wird er von beiden ungünstigen atributionen dermassen beeinflusst,",1
Es wäre Interessant zu überprüfen ob Michael bei stabiler ,0
"Durch ein Reattributionstraining könnte sie die ungünstigen Fremdattributionen, die bereits Michaels Motivation beeinträchtigen, beheben bzw. schwinden lassen.",1
"Bevor wir anfangen, könnt ihr mir bestätigen, dass das Halbsätze-Tool bei euch richtig funktioniert? Bitte wählt dazu einen Halbsatz aus und postet ihn in den Chat.",0
" auch negative Konsequenzen für Michael mitsichbringt,positiver Zuspruch sich aber positiv auswirkt.",1
Misserfolg,1
ZU DEN UNKLARHEITEN:,0
"- Wenn Michael weiterhin seine Begabung als Ursache für seinen Misserfolg hält, werden seine Leistungen wohl kaum besser, da er denkt, dass er an dieser Ursache sowieso nichts ändern kann.",1
Michael hat das Thema Mathe innerlich abgehakt. Das ist nicht sein Fall ,0
ich denke es ist alles notwendige gesagt,0
"es stimmt alles,aber es muss nicht undbedingt Physik sein,er kann auch Maler werden",0
Hier könnte man auf ein Reattributionstraining zurückgreifen,1
"Aber auch für Michael wäre ein solches Training gut, da er lernen könnte, dass der Grund für seine schlechten Leistungen variabel ist. ",1
"Und eigentlich ist er ja auch faul. Bloß hat es halt den Grund, dass er denkt, dass es sowieso nichts bringt, wenn er lernt.",1
als auch die eltern sollten durch ein reattributionstraining lernen die ungünstigen attributionen zu verhindern.,1
 Ursachen zurückzuführen.,1
beide parteien,0
"Eine neue Idee zu diesem Fall ist zu schauen, wie der Junge in den nächsten Jahren damit umgehen wird. Sein bisheriges Attributionsmuster wird ihn wohl kaum dazu bewegen, viel für Mathe zu arbeiten und sich somit immer wieder selbst bestätigen.",0
" aber die Eltern sollten auch andere Einstellung haben, versuchen ihm zu erklären, dass er viel üben sollte.",1
"die lokalität ist external, da die eltern ihm einreden,daß er einfach nicht begabt.und ",0
"Ich finde die Lehrerin sollte zunächst einmal den Eltern klar machen, dass ihr Sohn nicht besser wird, wenn sie ihn ständig in seiner Meinung von Mathe nichts zu verstehen unterstützen.",1
Okay danke,0
FÜR DIESEN FALL RELEVANTE BEGRIFFE DER ATTRIBUTIONSTHEORIE:- GEHT DER ATTRIBUTION EIN ERFOLG ODER EIN MISSERFOLG VORAUS?,0
1.Hypothese zum Fall:,0
"Zum Schluss kann vielleicht noch hinzugefügt werden, dass das von dir vorgeschlagene Reattribtionstraining sehr sinnvoll wäre, weil man durch Feedback, solange es konstruktiv ist, immer die beste Rückmeldung und Einschätzung bekommt. Das führt dann im Idealfall zu einer Verbesserung der Leistung und Erhöhung der Motivation.",1
"Auch seine Eltern sollten dieses Training durchlaufen, um ihren Sohn in Zukunft zu ermutigen",1
oder internal variable Ursachen wie mangelnde Anstrengung in Betracht ziehen,1
Belege und Begründungen:,0
besser wäre wenn die eltern und die lehrerin ihn ermutigen würden dass er dass bestimmt schaffen wird und dass sie ihn unterstützen,1
eltern sollten durch ein reattributionstraining lernen die ungünstigen attributionen zu verhindern.und mit günstigeren attributionen versuchen michael zu motivieren und mehr für die mathematik zu begeistern.,1
2.)selbstatribution von peter,0
Michaels Misserfolge können nur durch ein Reattributionstraining geändert werden. ,1
Mist! Man kann den Text nicht markieren und kopieren :(,0
" zu. Aber eigentlich ist ja das Problem, dass er sich nicht genügend anstrengt(internal variable Attribution).",1
ZU DEN UNKLARHEITEN:,0
"Eine neue Idee zu diesem Fall ist, dass sowohl Michael als auch seine Lehrerin und seine Eltern ein Reattributionstraining bräuchten",1
"Die Schwierigkeit der Hauptperson Michael ist, dass er keine guten Noten in Mathematik hat und diese seine Versetzung gefährden/gefährdet haben. Michael attribuiert seinen Misserfolg in Mathe internal stabil.  Stabil, weil das eine Fähigkeit darstellt und internal, weil es von Michael ausgeht. Michaels eigene Herangehensweise an Mathe ist demnach nicht förderlich für seinen Lernerfolg Michaels Eltern bestätigen Michael external in seiner ungünstige Selbstattribution. Unter anderem halten die Eltern sich und die ganze Familie für unbegabt in Mathe. Ein Reattributionstraining wäre interessant für die Lehrerin und die Eltern. Die Eltern sollten lernen Michael dabei zu unterstützen, Misserfolge auf variable Ursachen zurückzuführen",1
"Für euch zur Info: In den Reitern über dem Chat findet ihr den Fall, die Aufgabenbeschreibung und die Attributionstheorie. Falls ihr Fragen habt, könnt ihr sie jederzeit stellen.",0
"seinen Eltern ein Reattributionstraining gut tun, da er sich selbst so schlecht einschätzt und sich dadurch die Lernmotivation nur noch mehr verschlechtert.",1
Relativierungen des Arguments:,0
 oder eine vatiabel externale Attribution,1
Seine Selbstattributionen könnte er verbesseren indem er postive Unterstuzung von Fremdattributionen bekommt. ,1
"Und auch wenn er seine Begabung gefunden hat, muß er sich in Mathe anstrengen und versuchen sich der negativen Beeinflußung zu entziehen.",0
-Eltern führen seine Misserfolge auf variable Ursachen(zuwenig Anstrengung) ,1
außerdem würde ihm und ,1
durch fremdattributíonen redet man den schüler seine schlechten leistungen wären auf mangelnde begabung zurückzuführen.,0
(ich versuche noch mal gerade in der übeig gebliebenen zeit was zu schreiben,0
UNTER ATTRIBUTIONEN VERSTEHE ICH:,0
"Eine neue Idee zu diesem Fall ist, dass man hier eventuell ein Reattributionstraining einsetzten könnte um das Problem zu beheben",1
"Zudem sind wir der Meinung, dass die Eltern ein Reattributionstraining versuchen sollten, bei welchem sie ihrem Sohn ein Feedback geben, welches zu höherer Lernmotivation führt.",1
Belege und Begründungen:,0
"Durch ein Reattributionstraining könnte sie die ungünstigen Fremdattributionen, die bereits Michaels Motivation beeinträchtigen, beheben bzw. schwinden lassen.",1
"Zudem sind wir der Meinung, dass die Eltern ein Reattributionstraining versuchen sollten, bei welchem sie ihrem Sohn ein Feedback geben, welches zu höherer Lernmotivation führt.",1
Jedoch ist dies vieleicht nicht seine Stärke aber durchaus möglich wie man sieht den Fall in eine interne variable Attribution zu verwandeln.,1
"vll wäre es auch ein ansatz, die eltern zu reatribuieren",1
internal,0
Misserfolg führt er auf mangelnde Begabung zurück;,0
-Eltern führen seine Misserfolge auf variable Ursachen(zuwenig Anstrengung) ,1
"Die Schwierigkeit der Person aus dem Fall liegt eigentlich darin, dass sie Angst hat, Mathe im nächsten Schuljahr nicht zu bestehen",0
 oder eine vatiabel externale Attribution,1
"man muß ihm deutlich machen daß er begbt ist und eine gute leistung in mathe erreichen kann, wenn er anfängt zu lernen. ",1
PROGNOSE UND PÄDAGOGISCHE KONSEQUENZEN AUS DER PERSPEKTIVE DER ATTRIBUTIONSTHEORIE:,0
DIE ELTERN SOLLEN IHRE KINDER UNTERSTÜTZEN; BESONDERS WENN SIE PROBLEME HABEN,0
" denkt er, dass es ja garnichts bringt, wenn er was lernt, da er ja sowieso schlecht sein wird.",1
1.Hypothese zum Fall:,0
"An diesem Punkt könnte man mit Reattributionstranings ansetzen und den Eltern vermitteln, dass sie den Misserfolg ihres Sohnes günstig attribuiieren sollten, sodass dieser dies ebenfalls tut. Auch mit dem Schüler selbst könnte man Trainings durchführen, um seine ungünstige Selbstattribution zu verändern.",1
"Durch ein Reattributionstraining könnte sie die ungünstigen Fremdattributionen, die bereits Michaels Motivation beeinträchtigen, beheben bzw. schwinden lassen.",1
das macht sehr viel Sinn,0
"Ich würde schon sagen, dass sie das rüberbringen. Auch wenn sie sagen, dass ihre ganze Familie schon immer der Schreck der Mathelehrer war...",0
Ja! hab nochmal nachgelesen....,0
Belege und Begründungen:,0
Seine Selbstattributionen könnte er verbesseren indem er postive Unterstuzung von Fremdattributionen bekommt. ,1
"ich glaub,wir sollen unabhängig der 3 Fällen die Aufgaben bearbeiten",0
"Eine neue Idee zu diesem Fall ist, dass man hier eventuell ein Reattributionstraining einsetzten könnte um das Problem zu beheben",1
Belege und Begründungen:,0
könnte sicher die Motivation und das Interesse gefördert werden und somit die Leistung steigern.,1
ja,0
dringend erforderlich wäre eine reattribution bei den pädagogischen schlüsselpersonen.,1
"Michael, Schüler einer zehnten Klasse hat seit längerem Probleme in Mathematik.",0
"Auch seine Eltern sollten dieses Training durchlaufen, um ihren Sohn in Zukunft zu ermutigen",1
Dankeschön!!,0
"Vor allem aber sollten auch die Eltern trainiert werden, damit sie ihren Sohn in Zukunft nicht mehr in seinem falschen Glauben bestärken,",1
" Sie sollte vorallem auch ihn motivieren und uhm klar machen, dass es was bringt, wenn er sich anstrengt.",0
Ein Reattributionstraining durch die Eltern und der Schüler wird ihm helfen.,1
finde ich gut,0
"Hallo, willkommen in der Chatumgebung. Seid ihr beide da?",0
 auch noch eine internale,0
"selbstattribution, ",0
"Aber auch für Michael wäre ein solches Training gut, da er lernen könnte, dass der Grund für seine schlechten Leistungen variabel ist. ",1
oder internal variable Ursachen wie mangelnde Anstrengung in Betracht ziehen,1
Relativierungen des Arguments:,0
"soll die analyse in diesen chat? ja, oder?",0
"von Seiten des Lehrers könnte dazu führen, dass sich Michael nur noch überforderter fühlt (""Ich lerne, trotzdem sagen alle, ich bin faul"") oder das Konzept übernimmt (""Ich kanns eh nicht (mangelnde Begabung, s.o.), die Leute halten mich für faul, also lern ich gleich garnix mehr"").",1
eltern sollten durch ein reattributionstraining lernen die ungünstigen attributionen zu verhindern.und mit günstigeren attributionen versuchen michael zu motivieren und mehr für die mathematik zu begeistern.,1
"Wir glauben, dass Michael seine schlechten Leistungen aktuell internal stabil attribuiert und dass er daher nicht motiviert ist, sich anzustrengen, um bessere Leistungen zu erreichen. Wir erachten ein Reattributionstraining sowohl für ihn als auch für seine Eltern als wichtig, um Michael zu einer internal variablen Attribution zu führen, sowohl für Erfolg als auch für Misserfolg.",1
 so zum Beispiel? ,0
Der Lehrer sollte sich einschalten und versuchen seine Leistungen durch reattributionsstrainig zu verbessern,1
Die Eltern haben höchstwahrscheinlich nicht das richtige gemacht.,0
Relativierungen des Arguments:,0
Ist die Reaktion auf Mißerfolge von Michael internal variabel setzt diese ein Gegengewicht zu seinem external negativen UZmfeld,1
Durch ein Reattributionstraining ,1
"doch in der Praxis könnte sie natürlich noch viel motivierender sein, indem sie ihm einige Lösungsvorschläge giebt, wie er diese Faulheit überwinden kann (z.B.)",0
"3. Die Eltern streben auch kein Reattributionstraining an, um ihrem Sohn zu helfen zu einer variablen Attribution zu gelangen und somit die Möglichkeit zu erreichen Erfolg zu erlangen",1
"Mir auch nicht, ich meine vorhin gelesen zu haben, wir müssen es noch einheitlich aufschreiben. Sollen wir damit beginnen, alles zusammenzufassen?",0
"Du hast gerade geschrieben, dass wir die selbstattribution bis jetz vergessen haben. Ich glaueb bei michael handelt es sich um eine external stabile motivation",0
"Hallo, willkommen in der Chatumgebung.  Seid ihr beide da?",0
"Genau! Aussage der Lehrerin könnte ihn also motivieren zu lernen, im Gegensatz zu den Aussagen der Eltern, Ein wichtiges Konzept, was man dabei beachten sollte, ist, dass sein Vater ihm Außerdem Wege aufzeigt, wie er betrügen kann, um zu bestehen. Wenn er dann Erfolg hat, wird sein Selbstkonzept in Mathe immernoch schlecht bleiben.",0
Belege und Begründungen:,0
Aber gehts nicht eigentlich um die Faulheit des Jungen? Faulheit kann man doch abstellen und somit is es doch variabel.,1
und er mitdieser sichtweise motivierter an das lernen herangehen kann.,1
sondern sein Attributionsmuster kann durch gezielt eingesetztes Training verbessert werden,1
DIE ELTERN SOLLEN IHRE KINDER UNTERSTÜTZEN; BESONDERS WENN SIE PROBLEME HABEN,0
2.Hypothese zum Fall:,0
 oder eine vatiabel externale Attribution,1
eltern sollten durch ein reattributionstraining lernen die ungünstigen attributionen zu verhindern.und mit günstigeren attributionen versuchen ,1
"Okay, seid ihr beide zufrieden mit der gemeinsamen Zusammenfassung oder wollt ihr noch etwas ergänzen?",0
